Dep_ID,Location,Species,Date_deployed,Time_deployed,Date_retreived,Time_retreived,GPS,TDR,Bill_length [mm],Bill_depth [mm],Weight_deployment [kg],Weight_return [kg],Sex,Stage [a],Nest_on_dep [b],Nest_on_return,Notes,Nest_lat [deg N],Nest_lon [deg E]
LIC018,"South Orkneys, Laurie Island",Chinstrap penguin,30/12/2011,07:33,03/01/2012,13:17,29478,0092,52.1,17.7,3.7,4.4,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
LIC019,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2011,20:47,01/01/2012,17:34,29475,0096,48.7,18.9,3.9,4.3,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
LIC020,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2011,21:38,02/01/2012,12:48,29452,0098,44.9,16.5,3.6,4.1,NaN,NaN,Eggs - 2,Chicks - 2,First chicks seen in colony,NaN,NaN
LIC021,"South Orkneys, Laurie Island",Chinstrap penguin,01/01/2012,11:09,04/01/2012,12:38,29498,0083,48.9,17.9,4.2,4.5,NaN,NaN,Eggs - 2,Eggs - 2,Bird 'drunk' on deployment - attributed to Stock Marker spray,NaN,NaN
LIC022,"South Orkneys, Laurie Island",Chinstrap penguin,31/12/2011,14:34,04/01/2012,14:30,29466,0091,49.9,17.6,4,3.9,NaN,NaN,Eggs - 2,Eggs -1; Chicks -1,Bird 'drunk' on deployment - attributed to Stock Marker spray,NaN,NaN
LIC023,"South Orkneys, Laurie Island",Chinstrap penguin,01/01/2012,07:17,04/01/2012,08:08,29494,0094,48.9,14.5,4.3,4.5,NaN,NaN,Eggs - 2,Eggs - 2,Eggs both pipping,NaN,NaN
LIC024,"South Orkneys, Laurie Island",Chinstrap penguin,31/12/2011,17:36,04/01/2012,11:43,29493,0090,58.3,18.85,4.6,4.5,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
LIC025,"South Orkneys, Laurie Island",Chinstrap penguin,03/01/2012,18:05,05/01/2012,20:13,29476,0096,46.1,18.8,4.6,4,NaN,NaN,Eggs - 2,Eggs - 1; Chicks - 1,NaN,NaN,NaN
LIC026,"South Orkneys, Laurie Island",Chinstrap penguin,05/01/2012,09:51,05/01/2012,20:10,29475,0085,45.5,17.2,3.9,3.2,NaN,NaN,Eggs - 2,Chicks - 2,NaN,NaN,NaN
LIC027,"South Orkneys, Laurie Island",Chinstrap penguin,03/01/2012,07:36,06/01/2012,14:11,29462,0097,48.8,19.5,5,4.9,NaN,NaN,Eggs - 2,Chicks - 2,NaN,NaN,NaN
LIC028,"South Orkneys, Laurie Island",Chinstrap penguin,03/01/2012,18:30,06/01/2012,13:20,29452,0098,48.9,19.6,3.8,3.9,NaN,NaN,Eggs - 2,Chicks - 2,Taken off a day earlier because of early arrival of Shackleton,NaN,NaN
LIC029,"South Orkneys, Laurie Island",Chinstrap penguin,04/01/2012,06:37,06/01/2012,15:17,29478,0092,50.7,16.9,4.2,4.1,NaN,NaN,Eggs - 2,Eggs - 1; Chicks - 1,Taken off a day earlier because of early arrival of Shackleton,NaN,NaN
LIC030,"South Orkneys, Laurie Island",Chinstrap penguin,04/01/2012,14:31,06/01/2012,07:16,29497,0089,48.8,17.9,4.7,4.65,NaN,NaN,Chicks - 2,Chicks - 2,Taken off a day earlier because of early arrival of Shackleton,NaN,NaN
LIC031,"South Orkneys, Laurie Island",Chinstrap penguin,06/01/2012,15:28,10/01/2012,16:39,29494,0091,53.3,17.3,4.2,3.7,NaN,NaN,Eggs - 2,Chicks - 1,11/01/2012 - torrential rain all day - birds left alone and no recoveries attempted; 12/01/2012 - sleet and cold winds all day - birds left alone and no recoveries attempted,NaN,NaN
LIC032,"South Orkneys, Laurie Island",Chinstrap penguin,09/01/2012,20:26,10/01/2012,16:21,29498,0083,52.1,18.4,4.4,3.8,NaN,NaN,Eggs - 2,Eggs - 1; Chicks - 1,NaN,NaN,NaN
LIC033,"South Orkneys, Laurie Island",Chinstrap penguin,06/01/2012,13:51,13/01/2012,10:23,29493,0094,44.5,18.3,3.6,3.2,NaN,NaN,Eggs - 2,Chicks - 2,NaN,NaN,NaN
LIC034,"South Orkneys, Laurie Island",Chinstrap penguin,07/01/2012,07:56,13/01/2012,17:10,29476,0096,51.7,18.3,4.35,3.2,NaN,NaN,Eggs - 2,Chicks - 2,NaN,NaN,NaN
LIC035,"South Orkneys, Laurie Island",Chinstrap penguin,08/01/2012,07:58,10/01/2012,18:43,29475,0085,47.6,17.8,3.85,3.3,NaN,NaN,Eggs - 1; Chicks - 1,Chicks - 2,NaN,NaN,NaN
LIC036,"South Orkneys, Laurie Island",Chinstrap penguin,07/01/2012,20:23,14/01/2012,06:58,29478,0090,51.6,17.6,4.4,3.7,NaN,NaN,Chicks - 2,Chicks - 1,NaN,NaN,NaN
LIC037,"South Orkneys, Laurie Island",Chinstrap penguin,11/01/2012,06:29,13/01/2012,09:38,29497,0097,53.3,15,3.8,3.2,NaN,NaN,Eggs - 2,Chicks - 2,NaN,NaN,NaN
LIC038,"South Orkneys, Laurie Island",Chinstrap penguin,10/01/2012,09:18,12/01/2012,17:37,29452,0098,46.4,16.4,3.4,2.9,NaN,NaN,Eggs - 2,Chicks - 2,NaN,NaN,NaN
LIC039,"South Orkneys, Laurie Island",Chinstrap penguin,07/01/2012,18:22,13/01/2012,07:02,29466,0089,47.2,17.3,3.9,4,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC040,"South Orkneys, Laurie Island",Chinstrap penguin,07/01/2012,16:54,12/01/2012,16:27,29462,0092,50.8,17.5,3.4,3,NaN,NaN,Chicks - 2,Chicks - 1,NaN,NaN,NaN
LIC041,"South Orkneys, Laurie Island",Chinstrap penguin,13/01/2012,11:55,18/01/2012,07:32,29498,0083,46.2,17.5,3.2,3.2,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC042,"South Orkneys, Laurie Island",Chinstrap penguin,13/01/2012,13:14,18/01/2012,12:22,29494,0091,52,19,3.7,3.65,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC043,"South Orkneys, Laurie Island",Chinstrap penguin,13/01/2012,12:47,17/01/2012,22:37,29475,0085,48.6,18.6,3.2,3.2,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC044,"South Orkneys, Laurie Island",Chinstrap penguin,13/01/2012,18:48,18/01/2012,10:04,29462,0094,48.3,15,2.8,2.8,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC045,"South Orkneys, Laurie Island",Chinstrap penguin,14/01/2012,16:54,18/01/2012,21:38,29497,0090,48.5,18.9,3,3.4,NaN,NaN,Chicks - 1,Chicks - 1,NaN,NaN,NaN
LIC046,"South Orkneys, Laurie Island",Chinstrap penguin,14/01/2012,12:45,19/01/2012,10:54,29466,0092,50,17.8,2.8,3.2,NaN,NaN,Chicks - 1,Chicks - 1,TDR 0092 - terminal broken,NaN,NaN
LIC047,"South Orkneys, Laurie Island",Chinstrap penguin,14/01/2012,21:18,19/01/2012,11:01,29452,0098,51.4,16.5,2.7,3.1,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC048,"South Orkneys, Laurie Island",Chinstrap penguin,14/01/2012,14:17,18/01/2012,19:58,29493,0089,48.6,17.3,3.1,3,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC049,"South Orkneys, Laurie Island",Chinstrap penguin,16/01/2012,00:05,19/01/2012,17:22,29478,0097,45.9,17.1,2.7,3.2,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC050,"South Orkneys, Laurie Island",Chinstrap penguin,15/01/2012,18:48,20/01/2012,10:14,29476,0096,48,17.65,2.9,2.6,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC051,"South Orkneys, Laurie Island",Chinstrap penguin,19/01/2012,12:45,23/01/2012,11:40,29498,0083,52.9,19.2,3.8,3.5,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC052,"South Orkneys, Laurie Island",Chinstrap penguin,18/01/2012,17:41,23/01/2012,09:19,29475,0094,56.7,19.8,3.5,4.2,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC053,"South Orkneys, Laurie Island",Chinstrap penguin,19/01/2012,14:00,24/01/2012,10:57,29462,0085,49.3,18,3.3,3.2,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC054,"South Orkneys, Laurie Island",Chinstrap penguin,NaN,NaN,NaN,NaN,29494,0091,49.9,19.1,3.5,2.9,NaN,NaN,Chicks - 2,Chicks - 2,TDR 0091 - no depth data recorded,NaN,NaN
LIC055,"South Orkneys, Laurie Island",Chinstrap penguin,20/01/2012,00:30,22/01/2012,16:02,29452,0098,44.2,17.3,3.2,2.95,NaN,NaN,Chicks - 1,Chicks - 1,Recovered 1 day early,NaN,NaN
LIC056,"South Orkneys, Laurie Island",Chinstrap penguin,19/01/2012,16:49,23/01/2012,20:16,29466,0092,43.1,17.2,2.65,2.7,NaN,NaN,Chicks - 2,Chicks - 2,TDR 0092 - terminal broken,NaN,NaN
LIC057,"South Orkneys, Laurie Island",Chinstrap penguin,19/01/2012,18:47,24/01/2012,11:05,29493,0089,44.3,18.1,2.8,2.9,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC058,"South Orkneys, Laurie Island",Chinstrap penguin,20/01/2012,17:09,24/01/2012,10:56,29497,0090,45.5,19.6,3.2,3.2,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
LIC059,"South Orkneys, Laurie Island",Chinstrap penguin,20/01/2012,14:44,23/01/2012,13:21,29476,0096,49.2,18.7,3,3.6,NaN,NaN,Chicks - 2,Chicks - 2,Recovered 2 days early,NaN,NaN
LIC060,"South Orkneys, Laurie Island",Chinstrap penguin,20/01/2012,20:35,24/01/2012,17:12,29478,0097,49.9,19.3,3.2,3.4,NaN,NaN,Chicks - 2,Chicks - 2,Biggest chicks seen so far,NaN,NaN
MIC001,"South Orkneys, Monroe Island",Chinstrap penguin,25/12/2015,12:00,30/12/2015,12:00,29478,0232,49.9,18.5,3.5,3.75,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC002,"South Orkneys, Monroe Island",Chinstrap penguin,25/12/2015,12:00,04/01/2016,12:00,29640,0227,48.7,17.6,3.9,4.35,NaN,NaN,Eggs - 2,Eggs - 2,Did not go to sea before battery ran out after 4 days ,NaN,NaN
MIC003,"South Orkneys, Monroe Island",Chinstrap penguin,25/12/2015,12:00,31/12/2015,23:00,65237,0231,52.4,18.8,3.45,4.2,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC004,"South Orkneys, Monroe Island",Chinstrap penguin,26/12/2015,12:00,30/12/2015,15:00,65286,0296,45.3,16.7,3.75,3.5,NaN,NaN,Eggs - 2,Eggs - 2,Did not go to sea so recovered early,NaN,NaN
MIC005,"South Orkneys, Monroe Island",Chinstrap penguin,26/12/2015,12:00,06/01/2016,12:00,65318,0294,45,17,3.5,4,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC006,"South Orkneys, Monroe Island",Chinstrap penguin,26/12/2015,12:00,31/12/2015,12:00,65248,0305,45.8,17.3,4.1,4.45,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC007,"South Orkneys, Monroe Island",Chinstrap penguin,27/12/2015,12:00,31/12/2015,12:00,65320,0233,47.2,17.3,3.7,3.45,NaN,NaN,Eggs - 2,Eggs - 2,Did not go to sea so recovered early,NaN,NaN
MIC008,"South Orkneys, Monroe Island",Chinstrap penguin,27/12/2015,12:00,03/01/2016,18:00,65307,0237,47.6,17.1,3.7,4.5,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC009,"South Orkneys, Monroe Island",Chinstrap penguin,27/12/2015,12:00,04/01/2016,NaN,65292,0301,49.9,15.3,3.45,3.9,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC010,"South Orkneys, Monroe Island",Chinstrap penguin,27/12/2015,12:00,03/01/2016,18:00,65266,0236,50.1,17.7,4,4.9,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC011,"South Orkneys, Monroe Island",Chinstrap penguin,27/12/2015,12:00,03/01/2016,18:00,41069,0235,52,19.9,3.9,4.6,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC012,"South Orkneys, Monroe Island",Chinstrap penguin,01/01/2016,16:00,15/01/2016,13:00,29478,0231,53.2,18.1,4.15,4.65,NaN,NaN,Eggs - 2,Chicks - 1; Pipping - 1 ,NaN,NaN,NaN
MIC013,"South Orkneys, Monroe Island",Chinstrap penguin,01/01/2016,16:00,06/01/2016,20:00,65320,0233,51.9,18.1,3.85,4.35,NaN,NaN,Eggs - 2,Eggs - 1,GPS stopped working two hours after deployment,NaN,NaN
MIC014,"South Orkneys, Monroe Island",Chinstrap penguin,01/01/2016,16:00,04/01/2016,16:00,65237,0226,50.7,17.3,4.15,4.1,NaN,NaN,Eggs - 2,Failed,Was with another partner and nest so early recovery,NaN,NaN
MIC015,"South Orkneys, Monroe Island",Chinstrap penguin,01/01/2016,16:00,10/01/2016,21:00,65248,0296,48,18.8,4,4.4,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC016,"South Orkneys, Monroe Island",Chinstrap penguin,04/01/2016,16:00,07/01/2016,23:00,65307,0236,52.6,18,4.5,4.3,NaN,NaN,Eggs - 2,Eggs - 1,NaN,NaN,NaN
MIC018,"South Orkneys, Monroe Island",Chinstrap penguin,04/01/2016,16:00,12/01/2016,01:00,65266,0237,49.5,17.8,4.1,4.45,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC019,"South Orkneys, Monroe Island",Chinstrap penguin,04/01/2016,16:00,09/01/2016,17:00,29640,0227,49.5,15.1,3.6,3.6,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC020,"South Orkneys, Monroe Island",Chinstrap penguin,05/01/2016,16:00,15/01/2016,13:00,65237,0226,51.6,18.5,4.6,4.6,NaN,NaN,Eggs - 2,Eggs - 2,Didn't go to sea until 11/01/2016 - so probably increased by 300 g,NaN,NaN
MIC021,"South Orkneys, Monroe Island",Chinstrap penguin,05/01/2016,16:00,10/01/2016,12:00,65292,0301,51.4,19.2,4.3,4.8,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC022,"South Orkneys, Monroe Island",Chinstrap penguin,12/01/2016,13:00,17/01/2016,15:00,29460,0227,48,19.2,3.9,4.15,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC023,"South Orkneys, Monroe Island",Chinstrap penguin,12/01/2016,13:00,16/01/2016,15:00,65307,0294,43.6,16.6,3.9,3.6,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC024,"South Orkneys, Monroe Island",Chinstrap penguin,16/01/2016,14:00,17/01/2016,23:00,65318,0236,46.4,18.4,3.65,3.65,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC025,"South Orkneys, Monroe Island",Chinstrap penguin,16/01/2016,14:00,19/01/2016,18:00,65237,0226,50.4,19.6,4.15,4.65,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC026,"South Orkneys, Monroe Island",Chinstrap penguin,16/01/2016,14:00,18/01/2016,14:00,65266,0237,53,20.7,4.2,4.15,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC027,"South Orkneys, Monroe Island",Chinstrap penguin,17/01/2016,14:00,19/01/2016,18:00,65307,0294,52.2,18,4.5,4.65,NaN,NaN,Chicks - 2,Chicks - 1,NaN,NaN,NaN
MIC028,"South Orkneys, Monroe Island",Chinstrap penguin,17/01/2016,14:00,18/01/2016,21:00,65292,0301,47.3,16.4,4.3,4.7,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC029,"South Orkneys, Monroe Island",Chinstrap penguin,17/01/2016,14:00,18/01/2016,21:00,29478,0231,45.2,16.6,3.95,4,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC030,"South Orkneys, Monroe Island",Chinstrap penguin,18/01/2016,14:00,19/01/2016,23:00,29640,0227,48.8,16.6,3.95,4,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC031,"South Orkneys, Monroe Island",Chinstrap penguin,18/01/2016,14:00,19/01/2016,18:00,65318,0236,45.5,15.6,3.45,3.45,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC032,"South Orkneys, Monroe Island",Chinstrap penguin,20/01/2016,14:00,21/01/2016,15:00,65266,0237,49.4,18.7,4.35,4.9,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC033,"South Orkneys, Monroe Island",Chinstrap penguin,20/01/2016,14:00,21/01/2016,22:00,65292,0301,52.3,19,4.5,4.9,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC034,"South Orkneys, Monroe Island",Chinstrap penguin,20/01/2016,14:00,21/01/2016,22:00,65318,0236,53.5,21.4,4.25,5,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC035,"South Orkneys, Monroe Island",Chinstrap penguin,21/01/2016,14:00,22/01/2016,23:00,29640,0227,47.5,18.2,3.7,4.1,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC036,"South Orkneys, Monroe Island",Chinstrap penguin,21/01/2016,14:00,22/01/2016,19:00,65307,0294,43.6,17.7,3.7,4.15,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC037,"South Orkneys, Monroe Island",Chinstrap penguin,21/01/2016,14:00,23/01/2016,18:00,65237,0226,48,18.5,4,4.35,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC038,"South Orkneys, Monroe Island",Chinstrap penguin,22/01/2016,14:00,23/01/2016,18:00,65266,0237,46.8,19.3,3.85,4.35,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC039,"South Orkneys, Monroe Island",Chinstrap penguin,22/01/2016,14:00,24/01/2016,23:00,65318,0236,48.9,16.4,4.15,4.8,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC040,"South Orkneys, Monroe Island",Chinstrap penguin,22/01/2016,14:00,23/01/2016,23:00,65292,0301,43.7,17.1,3.9,4.3,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC041,"South Orkneys, Monroe Island",Chinstrap penguin,23/01/2016,14:00,24/01/2016,21:00,65307,0294,44.3,18.3,3.5,4,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC042,"South Orkneys, Monroe Island",Chinstrap penguin,23/01/2016,14:00,24/01/2016,21:00,29478,0231,49.1,16.5,3.7,4.15,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC043,"South Orkneys, Monroe Island",Chinstrap penguin,26/01/2016,14:30,27/01/2016,14:30,65307,0294,49.7,18,4.1,4.2,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC044,"South Orkneys, Monroe Island",Chinstrap penguin,26/01/2016,14:30,27/01/2016,14:30,65292,0301,45.9,17.7,4,4.1,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC045,"South Orkneys, Monroe Island",Chinstrap penguin,26/01/2016,14:30,27/01/2016,19:00,65318,0236,45,16.7,4.15,4.1,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC046,"South Orkneys, Monroe Island",Chinstrap penguin,27/01/2016,14:30,29/01/2016,15:00,29640,0227,45.2,17.2,4.35,4.2,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC047,"South Orkneys, Monroe Island",Chinstrap penguin,27/01/2016,14:30,28/01/2016,13:00,65266,0237,48.8,19.8,4.15,4,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC048,"South Orkneys, Monroe Island",Chinstrap penguin,27/01/2016,14:30,28/01/2016,13:00,65237,0226,52,19.3,4.5,4.3,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC049,"South Orkneys, Monroe Island",Chinstrap penguin,28/01/2016,13:30,29/01/2016,19:00,65318,0236,51,19.2,4.15,4.2,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC050,"South Orkneys, Monroe Island",Chinstrap penguin,28/01/2016,13:30,29/01/2016,21:00,65292,0301,52.2,18.2,4.05,4.4,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC051,"South Orkneys, Monroe Island",Chinstrap penguin,28/01/2016,13:30,29/01/2016,19:00,65307,0294,50.4,20.3,3.9,3.8,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC052,"South Orkneys, Monroe Island",Chinstrap penguin,29/01/2016,14:00,30/01/2016,16:00,29478,0231,52.2,20.3,4.45,4.45,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC053,"South Orkneys, Monroe Island",Chinstrap penguin,29/01/2016,14:00,30/01/2016,16:00,65266,0237,46.7,17.6,4.05,4.1,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC054,"South Orkneys, Monroe Island",Chinstrap penguin,01/02/2016,15:00,02/02/2016,16:00,65292,0301,49.3,18.6,3.9,3.9,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC055,"South Orkneys, Monroe Island",Chinstrap penguin,01/02/2016,15:00,02/02/2016,22:00,29640,0227,44.6,16.2,3.5,3.6,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC056,"South Orkneys, Monroe Island",Chinstrap penguin,01/02/2016,15:00,03/02/2016,23:30,65266,0237,49.3,18.8,3.5,4.1,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC057,"South Orkneys, Monroe Island",Chinstrap penguin,03/02/2016,12:15,05/02/2016,14:00,29640,0227,49.1,16.2,3.8,4.25,NaN,NaN,Chicks - 2,Chicks - 1,Creche,NaN,NaN
MIC058,"South Orkneys, Monroe Island",Chinstrap penguin,03/02/2016,12:15,06/02/2016,14:00,29478,0231,47.1,16.3,3.5,3.6,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC059,"South Orkneys, Monroe Island",Chinstrap penguin,03/02/2016,12:15,04/02/2016,14:00,65292,0301,51,18.9,3.9,4,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC060,"South Orkneys, Monroe Island",Chinstrap penguin,03/02/2016,15:15,05/02/2016,14:00,65320,0233,49.6,17.8,3.85,4.2,NaN,NaN,Chicks - 2,Chicks - 2,Creche; GPS stopped working one hour after deployment,NaN,NaN
MIC061,"South Orkneys, Monroe Island",Chinstrap penguin,03/02/2016,15:15,10/02/2016,19:00,65307,0294,45.7,15.3,3.5,3.7,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC062,"South Orkneys, Monroe Island",Chinstrap penguin,04/02/2016,18:00,06/02/2016,14:00,65266,0237,55,18.7,4,4,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC063,"South Orkneys, Monroe Island",Chinstrap penguin,04/02/2016,18:00,05/02/2016,14:00,65292,0301,48.1,19.1,3.6,3.85,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC064,"South Orkneys, Monroe Island",Chinstrap penguin,07/02/2016,13:30,08/02/2016,20:00,29478,0231,44.8,21.9,4.3,3.9,NaN,NaN,Chicks - 1,Chicks - 1,Creche,NaN,NaN
MIC065,"South Orkneys, Monroe Island",Chinstrap penguin,07/02/2016,13:30,08/02/2016,20:00,29640,0227,48.2,16.5,4.05,3.8,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC066,"South Orkneys, Monroe Island",Chinstrap penguin,07/02/2016,13:30,08/02/2016,20:00,65292,0301,46.2,16.7,3.55,3.75,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
PIC001,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2013,11:00,NaN,NaN,29478,0153,46.1,19.2,3.8,4.45,NaN,NaN,Eggs - 2,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC002,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2013,11:00,NaN,NaN,29476,0154,49.2,16.8,3.2,3.8,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
PIC003,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2013,11:00,NaN,NaN,29466,0147,44,17.1,3.2,4,NaN,NaN,Eggs - 2,Eggs - 2,Sheathbill took one egg on recovery,NaN,NaN
PIC004,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2013,11:00,NaN,NaN,29493,0151,42.2,16.7,3.5,4.1,NaN,NaN,Eggs - 2,Chicks - 2,NaN,NaN,NaN
PIC005,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2013,11:00,NaN,NaN,29497,0159,42.4,19.1,3.8,4,NaN,NaN,Eggs - 2,Chicks - 2,NaN,NaN,NaN
PIC006,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2013,11:00,NaN,NaN,29462,0152,46.1,18.2,3.1,3.95,NaN,NaN,Eggs - 1; Failed - 1,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC007,"South Orkneys, Laurie Island",Chinstrap penguin,30/12/2013,13:00,NaN,NaN,29498,0148,51.4,19,4.55,4.6,NaN,NaN,Eggs - 2,Chicks - 1; Pipping - 1,NaN,NaN,NaN
PIC008,"South Orkneys, Laurie Island",Chinstrap penguin,30/12/2013,13:00,NaN,NaN,29452,0158,54.2,18.3,4.1,5,NaN,NaN,Eggs - 2,Pipping - 1; Eggs - 1,NaN,NaN,NaN
PIC009,"South Orkneys, Laurie Island",Chinstrap penguin,30/12/2013,13:00,NaN,NaN,29494,02800,42,17.3,3.8,4.6,NaN,NaN,Eggs - 2,Pipping - 1; Eggs - 1,NaN,NaN,NaN
PIC010,"South Orkneys, Laurie Island",Chinstrap penguin,30/12/2013,13:00,NaN,NaN,29475,0157,45.3,16.6,3.7,4,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
PIC011,"South Orkneys, Laurie Island",Chinstrap penguin,30/12/2013,13:00,NaN,NaN,29640,2800,47,15.8,3.8,4.15,NaN,NaN,Eggs - 2,Pipping - 1; Eggs - 1,NaN,NaN,NaN
PIC012,"South Orkneys, Laurie Island",Chinstrap penguin,30/12/2013,13:00,NaN,NaN,29609,0149,46.3,17.4,3.95,4.8,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
PIC013,"South Orkneys, Laurie Island",Chinstrap penguin,01/05/2014,10:30,NaN,NaN,29498,0157,48.1,17.2,4.6,4.2,NaN,NaN,Eggs - 2,Chicks - 1; Eggs - 1,NaN,NaN,NaN
PIC014,"South Orkneys, Laurie Island",Chinstrap penguin,01/05/2014,10:30,NaN,NaN,29475,1551,48,17.7,3.9,4.2,NaN,NaN,Chicks - 2,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC015,"South Orkneys, Laurie Island",Chinstrap penguin,01/05/2014,10:30,NaN,NaN,29452,0158,44.8,15.9,4,4.05,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
